NDX,SSE
13379.05,3490.41
13303.64,3520.65
13299.74,3521.11
13535.74,3500.88
13470.99,3510.84
13661.17,3486.27
13657.17,3502.54
13738.0,3586.84
13736.28,3585.73
13748.74,3610.77
13736.48,3608.6
13756.33,3626.33
13614.51,3595.42
13814.49,3565.47
13881.72,3597.14
13924.91,3598.75
13911.75,3576.8
14020.33,3587.53
14069.42,3614.11
14072.86,3587.47
14039.68,3556.71
14161.35,3508.32
14030.38,3520.5
14141.48,3515.5
14253.27,3539.79
14271.73,3559.4
14369.71,3568.58
14360.39,3567.38
14500.51,3612.25
14528.33,3601.68
14503.95,3572.62
14522.38,3600.55
14639.33,3569.89
14663.64,3533.13
14665.06,3508.59
14559.78,3557.22
14701.92,3512.23
14733.24,3545.2
14677.65,3547.59
14644.95,3560.83
14543.13,3519.06
14427.24,3559.53
14274.98,3530.49
14498.88,3515.07
14631.95,3543.05
14684.6,3563.66
14836.99,3571.72
14840.71,3538.01
14660.58,3467.45
